Ámbito;Area de Cultivos;Area de Pastoreo;Area de Bosques; Zonas de Pesca  ;Huella de Carbono;Areas Urbanas;Huella Regional Per Capita
AMAZONAS;0.26;0.246;0.09;0.222;0.293;0.046;1.156
ÁNCASH;0.41;0.392;0.176;0.34;0.476;0.053;1.848
APURÍMAC;0.244;0.295;0.077;0.217;0.285;0.043;1.16
AREQUIPA;0.462;0.674;0.205;0.31;0.767;0.079;2.496
AYACUCHO;0.312;0.345;0.083;0.25;0.289;0.044;1.323
CAJAMARCA;0.282;0.271;0.096;0.257;0.326;0.043;1.276
CUSCO;0.414;0.57;0.145;0.283;0.503;0.065;1.981
HUANCAVELICA;0.206;0.26;0.077;0.142;0.233;0.037;0.955
HUÁNUCO;0.3;0.289;0.088;0.234;0.328;0.042;1.282
ICA;0.509;0.454;0.188;0.418;0.639;0.065;2.273
JUNÍN;0.356;0.374;0.125;0.33;0.451;0.051;1.686
LA LIBERTAD;0.435;0.499;0.169;0.358;0.598;0.055;2.114
LAMBAYEQUE;0.512;0.48;0.176;0.573;0.58;0.06;2.381
LIMA;0.615;0.627;0.261;0.543;1.139;0.099;3.285
LORETO;0.422;0.398;0.135;0.503;0.445;0.055;1.959
MADRE DE DIOS;0.569;0.544;0.335;0.458;0.75;0.107;2.764
MOQUEGUA;0.423;0.602;0.222;0.273;0.685;0.088;2.293
PASCO;0.277;0.378;0.095;0.192;0.326;0.049;1.317
PIURA;0.418;0.441;0.151;0.509;0.467;0.052;2.039
PUNO;0.312;0.479;0.107;0.199;0.353;0.047;1.497
SAN MARTÍN;0.384;0.353;0.131;0.447;0.421;0.058;1.793
TACNA;0.495;0.71;0.187;0.35;0.775;0.084;2.601
TUMBES;0.468;0.47;0.208;0.606;0.553;0.071;2.376
UCAYALI;0.49;0.471;0.179;0.801;0.575;0.069;2.584
