Ámbito;Área de Cultivos;Área de Pastoreo;Área de Bosques; Zonas de Pesca  ;Huella de Carbono;Áreas Urbanas;Huella Regional Per Capita
AMAZONAS;0.280;0.219;0.106;0.194;0.345;0.054;1.198
ÁNCASH;0.412;0.303;0.176;0.328;0.490;0.050;1.758
APURÍMAC;0.286;0.336;0.071;0.263;0.357;0.055;1.368
AREQUIPA;0.500;0.782;0.178;0.366;0.834;0.082;2.742
AYACUCHO;0.301;0.352;0.090;0.276;0.314;0.050;1.382
CAJAMARCA;0.262;0.190;0.094;0.234;0.328;0.042;1.150
CUSCO;0.415;0.588;0.128;0.289;0.518;0.062;2.000
HUANCAVELICA;0.231;0.229;0.073;0.180;0.268;0.045;1.026
HUÁNUCO;0.326;0.256;0.109;0.252;0.381;0.048;1.372
ICA;0.553;0.486;0.167;0.454;0.677;0.062;2.399
JUNÍN;0.377;0.364;0.138;0.333;0.513;0.057;1.782
LA LIBERTAD;0.424;0.357;0.150;0.352;0.599;0.053;1.935
LAMBAYEQUE;0.546;0.500;0.200;0.638;0.664;0.067;2.614
LIMA;0.644;0.649;0.269;0.587;1.240;0.103;3.491
LORETO;0.435;0.366;0.146;0.555;0.493;0.058;2.052
MADRE DE DIOS;0.579;0.562;0.219;0.498;0.668;0.090;2.615
MOQUEGUA;0.453;0.692;0.192;0.298;0.736;0.086;2.457
PASCO;0.285;0.285;0.107;0.235;0.390;0.059;1.361
PIURA;0.503;0.442;0.176;0.629;0.545;0.057;2.353
PUNO;0.287;0.431;0.088;0.164;0.342;0.046;1.358
SAN MARTÍN;0.402;0.294;0.135;0.444;0.476;0.067;1.817
TACNA;0.520;0.675;0.180;0.364;0.791;0.079;2.609
TUMBES;0.479;0.472;0.213;0.575;0.595;0.071;2.404
UCAYALI;0.539;0.448;0.215;0.829;0.639;0.075;2.745
