Ámbito;Área de Cultivos;Área de Pastoreo;Área de Bosques; Zonas de Pesca  ;Huella de Carbono;Áreas Urbanas;Huella Regional Per Capita
AMAZONAS;0,272;0,243;0,100;0,149;0,296;0,046;1,106
ÁNCASH;0,377;0,404;0,172;0,219;0,459;0,056;1,687
APURÍMAC;0,228;0,260;0,092;0,137;0,244;0,037;0,997
AREQUIPA;0,438;0,553;0,189;0,188;0,670;0,071;2,108
AYACUCHO;0,302;0,329;0,070;0,187;0,275;0,044;1,206
CAJAMARCA;0,278;0,256;0,081;0,169;0,296;0,041;1,120
CUSCO;0,398;0,505;0,137;0,202;0,447;0,059;1,748
HUANCAVELICA;0,210;0,268;0,074;0,090;0,224;0,035;0,901
HUÁNUCO;0,276;0,306;0,098;0,146;0,311;0,041;1,177
ICA;0,516;0,486;0,205;0,306;0,599;0,063;2,174
JUNÍN;0,339;0,347;0,119;0,205;0,406;0,045;1,461
LA LIBERTAD;0,441;0,453;0,185;0,252;0,595;0,057;1,983
LAMBAYEQUE;0,521;0,486;0,200;0,405;0,567;0,060;2,238
LIMA;0,640;0,690;0,272;0,389;1,099;0,099;3,189
LORETO;0,443;0,469;0,141;0,345;0,454;0,056;1,908
MADRE DE DIOS;0,600;0,617;0,293;0,367;0,750;0,106;2,733
MOQUEGUA;0,419;0,509;0,250;0,199;0,721;0,097;2,195
PASCO;0,288;0,421;0,099;0,159;0,340;0,050;1,358
PIURA;0,447;0,441;0,160;0,424;0,476;0,052;2,001
PUNO;0,273;0,375;0,083;0,119;0,288;0,040;1,177
SAN MARTÍN;0,389;0,382;0,137;0,288;0,426;0,059;1,682
TACNA;0,522;0,644;0,174;0,243;0,755;0,082;2,420
TUMBES;0,522;0,532;0,221;0,476;0,589;0,077;2,417
UCAYALI;0,567;0,624;0,200;0,671;0,600;0,071;2,733
