Ámbito;Área de Cultivos;Área de Pastoreo;Área de Bosques; Zonas de Pesca  ;Huella de Carbono;Áreas Urbanas;Huella Regional Per Capita
AMAZONAS;0,262;0,210;0,102;0,205;0,312;0,050;1,141
ÁNCASH;0,390;0,313;0,164;0,317;0,484;0,054;1,722
APURÍMAC;0,263;0,275;0,085;0,219;0,300;0,044;1,187
AREQUIPA;0,467;0,714;0,177;0,337;0,780;0,079;2,553
AYACUCHO;0,309;0,360;0,092;0,276;0,311;0,049;1,395
CAJAMARCA;0,250;0,196;0,097;0,218;0,319;0,041;1,120
CUSCO;0,422;0,582;0,183;0,276;0,544;0,070;2,078
HUANCAVELICA;0,191;0,212;0,069;0,136;0,225;0,040;0,873
HUÁNUCO;0,289;0,233;0,104;0,222;0,350;0,045;1,243
ICA;0,514;0,464;0,176;0,461;0,654;0,063;2,331
JUNÍN;0,384;0,364;0,153;0,334;0,493;0,056;1,784
LA LIBERTAD;0,424;0,370;0,169;0,352;0,591;0,052;1,960
LAMBAYEQUE;0,530;0,509;0,167;0,628;0,612;0,061;2,507
LIMA;0,628;0,651;0,252;0,556;1,179;0,099;3,365
LORETO;0,455;0,377;0,147;0,577;0,509;0,062;2,126
MADRE DE DIOS;0,548;0,524;0,247;0,466;0,684;0,094;2,563
MOQUEGUA;0,428;0,612;0,199;0,272;0,715;0,092;2,319
PASCO;0,288;0,322;0,092;0,229;0,373;0,054;1,359
PIURA;0,462;0,464;0,188;0,598;0,526;0,058;2,296
PUNO;0,322;0,519;0,101;0,184;0,359;0,048;1,533
SAN MARTÍN;0,421;0,316;0,146;0,463;0,461;0,062;1,870
TACNA;0,519;0,701;0,185;0,382;0,806;0,088;2,681
TUMBES;0,475;0,476;0,234;0,572;0,584;0,073;2,415
UCAYALI;0,558;0,500;0,222;0,866;0,615;0,074;2,835
