Ámbito;Área de Cultivos;Área de Pastoreo;Área de Bosques; Zonas de Pesca  ;Huella de Carbono;Áreas Urbanas;Huella Regional Per Capita
AMAZONAS;0,269;0,280;0,110;0,226;0,300;0,046;1,231
ÁNCASH;0,378;0,378;0,206;0,333;0,506;0,059;1,859
APURÍMAC;0,232;0,304;0,082;0,180;0,245;0,033;1,076
AREQUIPA;0,444;0,743;0,179;0,283;0,689;0,067;2,405
AYACUCHO;0,289;0,346;0,087;0,269;0,280;0,041;1,313
CAJAMARCA;0,268;0,282;0,100;0,214;0,313;0,043;1,220
CUSCO;0,331;0,521;0,135;0,236;0,427;0,052;1,702
HUANCAVELICA;0,191;0,238;0,079;0,140;0,226;0,032;0,906
HUÁNUCO;0,263;0,244;0,099;0,197;0,317;0,038;1,159
ICA;0,497;0,475;0,231;0,412;0,656;0,069;2,340
JUNÍN;0,353;0,364;0,141;0,298;0,436;0,048;1,640
LA LIBERTAD;0,420;0,430;0,190;0,382;0,600;0,052;2,075
LAMBAYEQUE;0,470;0,485;0,158;0,514;0,546;0,057;2,230
LIMA;0,588;0,663;0,263;0,531;1,097;0,097;3,239
LORETO;0,401;0,344;0,163;0,477;0,463;0,053;1,901
MADRE DE DIOS;0,546;0,628;0,289;0,417;0,746;0,103;2,729
MOQUEGUA;0,397;0,646;0,225;0,272;0,705;0,087;2,331
PASCO;0,273;0,336;0,100;0,214;0,360;0,051;1,334
PIURA;0,427;0,496;0,167;0,599;0,483;0,050;2,223
PUNO;0,251;0,428;0,108;0,150;0,295;0,040;1,271
SAN MARTÍN;0,355;0,347;0,158;0,402;0,439;0,056;1,758
TACNA;0,429;0,673;0,229;0,278;0,789;0,083;2,480
TUMBES;0,522;0,638;0,222;0,662;0,620;0,075;2,740
UCAYALI;0,522;0,520;0,192;0,904;0,607;0,070;2,815
